Country	StockCode	Description	Sum of Revenue	TopValue
USA	22423	REGENCY CAKESTAND 3 TIER	114.75	1
USA	21121	SET/10 RED POLKADOT PARTY CANDLES	90	0
USA	21122	SET/10 PINK POLKADOT PARTY CANDLES	90	0
USA	21123	SET/10 IVORY POLKADOT PARTY CANDLES	90	0
USA	21124	SET/10 BLUE POLKADOT PARTY CANDLES	90	0
USA	23328	SET 6 SCHOOL MILK BOTTLES IN CRATE	81.36	0
USA	23296	SET OF 6 TEA TIME BAKING CASES	40	0
USA	23173	REGENCY TEAPOT ROSES	39.8	0
USA	22649	STRAWBERRY FAIRY CAKE TEAPOT	39.6	0
USA	22989	SET 2 PANTRY DESIGN TEA TOWELS	39	0
USA	47590B	PINK HAPPY BIRTHDAY BUNTING	38.15	0
USA	37501	TEA TIME TEA SET IN GIFT BOX	34.75	0
USA	22734	SET OF 6 RIBBONS VINTAGE CHRISTMAS	34.68	0
USA	23293	SET OF 12 FAIRY CAKE BAKING CASES	33.2	0
USA	22129	PARTY CONES CANDY TREE DECORATION	30.6	0
USA	22907	PACK OF 20 NAPKINS PANTRY DESIGN	30.6	0
USA	23078	ICE CREAM PEN LIP GLOSS	30	0
USA	22722	SET OF 6 SPICE TINS PANTRY DESIGN	27.65	0
USA	23077	DOUGHNUT LIP GLOSS	25	0
USA	23156	SET OF 5 MINI GROCERY MAGNETS	24.96	0
USA	23159	SET OF 5 PANCAKE DAY MAGNETS	24.96	0
USA	23513	EMBROIDERED RIBBON REEL SUSIE	24.96	0
USA	22990	COTTON APRON PANTRY DESIGN	24.75	0
USA	22492	MINI PAINT SET VINTAGE	23.4	0
USA	22938	CUPCAKE LACE PAPER SET 6	23.4	0
USA	23229	VINTAGE DONKEY TAIL GAME	22.5	0
USA	23516	EMBROIDERED RIBBON REEL SOPHIE	22.5	0
USA	84987	SET OF 36 TEATIME PAPER DOILIES	21.75	0
USA	22962	JAM JAR WITH PINK LID	20.4	0
USA	22963	JAM JAR WITH GREEN LID	20.4	0
USA	22449	SILK PURSE BABUSHKA PINK	20.1	0
USA	23372	SET 36 COLOUR PENCILS DOLLY GIRL	20	0
USA	23294	SET OF 6 SNACK LOAF BAKING CASES	19.92	0
USA	23295	SET OF 12 MINI LOAF BAKING CASES	19.92	0
USA	22720	SET OF 3 CAKE TINS PANTRY DESIGN	19.8	0
USA	23245	SET OF 3 REGENCY CAKE TINS	19.8	0
USA	37500	TEA TIME TEAPOT IN GIFT BOX	19.8	0
USA	22551	PLASTERS IN TIN SPACEBOY	19.8	0
USA	22972	CHILDREN'S SPACEBOY MUG	19.8	0
USA	22974	CHILDRENS DOLLY GIRL MUG	19.8	0
USA	23165	LARGE CERAMIC TOP STORAGE JAR	19.8	0
USA	37448	CERAMIC CAKE DESIGN SPOTTED MUG	17.88	0
USA	22088	PAPER BUNTING COLOURED LACE	17.7	0
USA	22090	PAPER BUNTING RETROSPOT	17.7	0
USA	22326	ROUND SNACK BOXES SET OF4 WOODLAND	17.7	0
USA	22360	GLASS JAR ENGLISH CONFECTIONERY	17.7	0
USA	21210	SET OF 72 RETROSPOT PAPER  DOILIES	17.4	0
USA	21668	RED STRIPE CERAMIC DRAWER KNOB	17.4	0
USA	21669	BLUE STRIPE CERAMIC DRAWER KNOB	17.4	0
USA	21671	RED SPOT CERAMIC DRAWER KNOB	17.4	0
USA	21891	TRADITIONAL WOODEN SKIPPING ROPE	17.4	0
USA	21974	SET OF 36 PAISLEY FLOWER DOILIES	17.4	0
USA	22949	36 DOILIES DOLLY GIRL	17.4	0
USA	22961	JAM MAKING SET PRINTED	17.4	0
USA	23518	EMBROIDERED RIBBON REEL RACHEL	17.34	0
USA	22199	FRYING PAN RED RETROSPOT	17	0
USA	22848	BREAD BIN DINER STYLE PINK	16.95	0
USA	23174	REGENCY SUGAR BOWL GREEN	16.6	0
USA	23254	CHILDRENS CUTLERY DOLLY GIRL	16.6	0
USA	23255	CHILDRENS CUTLERY CIRCUS PARADE	16.6	0
USA	23256	CHILDRENS CUTLERY SPACEBOY	16.6	0
USA	21524	DOORMAT SPOTTY HOME SWEET HOME	16.5	0
USA	22736	RIBBON REEL MAKING SNOWMEN	16.5	0
USA	22737	RIBBON REEL CHRISTMAS PRESENT	16.5	0
USA	22738	RIBBON REEL SNOWY VILLAGE	16.5	0
USA	22739	RIBBON REEL CHRISTMAS SOCK BAUBLE	16.5	0
USA	48185	DOORMAT FAIRY CAKE	16.5	0
USA	47590A	BLUE HAPPY BIRTHDAY BUNTING	16.35	0
USA	20750	RED RETROSPOT MINI CASES	15.9	0
USA	23014	GLASS APOTHECARY BOTTLE ELIXIR	15.8	0
USA	22301	COFFEE MUG CAT + BIRD DESIGN	15.3	0
USA	22970	LONDON BUS COFFEE MUG	15.3	0
USA	23311	VINTAGE CHRISTMAS STOCKING	15.3	0
USA	21231	SWEETHEART CERAMIC TRINKET BOX	15	0
USA	21232	STRAWBERRY CERAMIC TRINKET BOX	15	0
USA	21915	RED  HARMONICA IN BOX	15	0
USA	22128	PARTY CONES CANDY ASSORTED	15	0
USA	22204	MILK PAN BLUE POLKADOT	15	0
USA	22399	MAGNETS PACK OF 4 CHILDHOOD MEMORY	15	0
USA	22619	SET OF 6 SOLDIER SKITTLES	15	0
USA	23166	MEDIUM CERAMIC TOP STORAGE JAR	15	0
USA	23349	ROLL WRAP VINTAGE CHRISTMAS	15	0
USA	23351	ROLL WRAP 50'S CHRISTMAS	15	0
USA	37495	FAIRY CAKE BIRTHDAY CANDLE SET	15	0
USA	84509A	SET OF 4 ENGLISH ROSE PLACEMATS	15	0
USA	22138	BAKING SET 9 PIECE RETROSPOT	14.85	0
USA	22139	RETROSPOT TEA SET CERAMIC 11 PC	14.85	0
USA	22668	PINK BABY BUNTING	14.75	0
USA	21577	SAVE THE PLANET COTTON TOTE BAG	13.5	0
USA	21212	PACK OF 72 RETROSPOT CAKE CASES	13.2	0
USA	21976	PACK OF 60 MUSHROOM CAKE CASES	13.2	0
USA	22417	PACK OF 60 SPACEBOY CAKE CASES	13.2	0
USA	22951	60 CAKE CASES DOLLY GIRL DESIGN	13.2	0
USA	23309	SET OF 60 I LOVE LONDON CAKE CASES	13.2	0
USA	84991	60 TEATIME FAIRY CAKE CASES	13.2	0
USA	23175	REGENCY MILK JUG PINK	13	0
USA	22149	FELTCRAFT 6 FLOWER FRIENDS	12.6	0
USA	47559B	TEA TIME OVEN GLOVE	12.5	0
USA	23512	EMBROIDERED RIBBON REEL ROSIE	12.48	0
USA	23514	EMBROIDERED RIBBON REEL SALLY	12.48	0
USA	23515	EMBROIDERED RIBBON REEL DAISY	12.48	0
USA	16161P	WRAP ENGLISH ROSE	10.5	0
USA	21498	RED RETROSPOT WRAP	10.5	0
USA	21499	BLUE POLKADOT WRAP	10.5	0
USA	22046	TEA PARTY  WRAPPING PAPER	10.5	0
USA	22048	BIRTHDAY BANQUET GIFT WRAP	10.5	0
USA	22050	PINK PAISLEY ROSE GIFT WRAP	10.5	0
USA	22706	WRAP COWBOYS	10.5	0
USA	22708	WRAP DOLLY GIRL	10.5	0
USA	22959	WRAP CHRISTMAS VILLAGE	10.5	0
USA	23366	SET 12 COLOURING PENCILS DOILY	10.4	0
USA	23367	SET 12 COLOUR PENCILS SPACEBOY	10.4	0
USA	21058	PARTY INVITES WOODLAND	10.2	0
USA	21059	PARTY INVITES DINOSAURS	10.2	0
USA	22922	FRIDGE MAGNETS US DINER ASSORTED	10.2	0
USA	22147	FELTCRAFT BUTTERFLY HEARTS	10.15	0
USA	23289	DOLLY GIRL CHILDRENS BOWL	10	0
USA	23290	SPACEBOY CHILDRENS BOWL	10	0
USA	23291	DOLLY GIRL CHILDRENS CUP	10	0
USA	23292	SPACEBOY CHILDRENS CUP	10	0
USA	23167	SMALL CERAMIC TOP STORAGE JAR	9.96	0
USA	23353	6 GIFT TAGS VINTAGE CHRISTMAS	9.96	0
USA	23354	6 GIFT TAGS 50'S CHRISTMAS	9.96	0
USA	22900	 SET 2 TEA TOWELS I LOVE LONDON	9.75	0
USA	23434	3 RAFFIA RIBBONS 50'S CHRISTMAS	7.9	0
USA	47580	TEA TIME DES TEA COSY	7.65	0
USA	21067	VINTAGE RED TEATIME MUG	7.5	0
USA	22027	TEA PARTY BIRTHDAY CARD	5.04	0
USA	22029	SPACEBOY BIRTHDAY CARD	5.04	0
USA	22712	CARD DOLLY GIRL	5.04	0
USA	22818	CARD CHRISTMAS VILLAGE	5.04	0
USA	22983	CARD BILLBOARD FONT	5.04	0
USA	22965	3 TRADITIONAl BISCUIT CUTTERS  SET	4.2	0
USA	22979	PANTRY WASHING UP BRUSH	2.9	0
USA	22993	SET OF 4 PANTRY JELLY MOULDS	1.25	0
Unspecified	22960	JAM MAKING SET WITH JARS	70.5	0
Unspecified	23234	BISCUIT TIN VINTAGE CHRISTMAS	69.36	0
Unspecified	23236	STORAGE TIN VINTAGE DOILY	69.36	0
Unspecified	23076	ICE CREAM SUNDAE LIP GLOSS	60	0
Unspecified	22138	BAKING SET 9 PIECE RETROSPOT	54.45	0
Unspecified	11001	ASSTD DESIGN RACING CAR PEN	54.08	0
Unspecified	21888	BINGO SET	52.5	0
Unspecified	22485	SET OF 2 WOODEN MARKET CRATES	51	0
Unspecified	22555	PLASTERS IN TIN STRONGMAN	49.5	0
Unspecified	21891	TRADITIONAL WOODEN SKIPPING ROPE	47.85	0
Unspecified	20749	ASSORTED COLOUR MINI CASES	47.7	0
Unspecified	20750	RED RETROSPOT MINI CASES	47.7	0
Unspecified	23254	CHILDRENS CUTLERY DOLLY GIRL	45.65	0
Unspecified	22619	SET OF 6 SOLDIER SKITTLES	45	0
Unspecified	23318	BOX OF 6 MINI VINTAGE CRACKERS	44.82	0
Unspecified	22752	SET 7 BABUSHKA NESTING BOXES	42.5	0
Unspecified	22620	4 TRADITIONAL SPINNING TOPS	42.05	0
Unspecified	21124	SET/10 BLUE POLKADOT PARTY CANDLES	40	0
Unspecified	21890	S/6 WOODEN SKITTLES IN COTTON BAG	39	0
Unspecified	23108	SET OF 10 LED DOLLY LIGHTS	37.5	0
Unspecified	23240	SET OF 4 KNICK KNACK TINS DOILEY	37.35	0
Unspecified	23256	CHILDRENS CUTLERY SPACEBOY	37.35	0
Unspecified	84913B	MINT GREEN ROSE TOWEL	37.2	0
Unspecified	84879	ASSORTED COLOUR BIRD ORNAMENT	37.18	0
Unspecified	22621	TRADITIONAL KNITTING NANCY	36.3	0
Unspecified	23007	 SPACEBOY BABY GIFT SET	33.9	0
Unspecified	22467	GUMBALL COAT RACK	30.6	0
Unspecified	22584	PACK OF 6 PANNETONE GIFT BOXES	30.6	0
Unspecified	21121	SET/10 RED POLKADOT PARTY CANDLES	30	0
Unspecified	21122	SET/10 PINK POLKADOT PARTY CANDLES	30	0
Unspecified	21123	SET/10 IVORY POLKADOT PARTY CANDLES	30	0
Unspecified	21889	WOODEN BOX OF DOMINOES	30	0
Unspecified	22560	TRADITIONAL MODELLING CLAY	30	0
Unspecified	22953	BIRTHDAY PARTY CORDON BARRIER TAPE	30	0
Unspecified	23078	ICE CREAM PEN LIP GLOSS	30	0
Unspecified	84877A	PINK ROUND COMPACT MIRROR	30	0
Unspecified	21628	TRIANGULAR POUFFE VINTAGE	29.9	0
